phecode	phenotype	sex	category	icd9_ukb_num	icd9_ukb	icd10_ukb_num	icd10_ukb
425.11	Hypertrophic obstructive cardiomyopathy	Both	circulatory system	1	425.1	1	I42.1
425.12	Other hypertrophic cardiomyopathy	Both	circulatory system	NA	NA	1	I42.2
425.2	Secondary/extrinsic cardiomyopathies	Both	circulatory system	NA	NA	1	I43.8
425.8	Other cardiomyopathy	Both	circulatory system	NA	NA	1	I42.6
426	Cardiac conduction disorders		circulatory system	10	426.0, 426.1, 426.3, 426.4, 426.5, 426.6, 426.7, 426.9, V45.0, V53.3	1	I45.9
426.2	Atrioventricular [AV] block	Both	circulatory system	3	426.0, 426.1, 426.6	1	I44.3
426.21	First degree AV block	Both	circulatory system	NA	NA	1	I44.0
426.23	Second degree AV block	Both	circulatory system	NA	NA	1	I44.1
426.24	Atrioventricular block, complete	Both	circulatory system	1	426.0	1	I44.2
426.25	Other heart block	Both	circulatory system	1	426.6	1	I45.5
426.3	Bundle branch block	Both	circulatory system	3	426.3, 426.4, 426.5	4	I44.6, I45.2, I45.3, I45.4
426.31	Right bundle branch block	Both	circulatory system	1	426.4	2	I45.0, I45.1
426.32	Left bundle branch block	Both	circulatory system	1	426.3	4	I44.4, I44.5, I44.6, I44.7
426.4	Anomalous atrioventricular excitation	Both	circulatory system	1	426.7	1	I45.6
426.8	Other cardiac conduction disorders	Both	circulatory system	NA	NA	1	I45.8
426.9	Cardiac pacemaker/device in situ	Both	circulatory system	2	V45.0, V53.3	1	Z95.9
426.91	Cardiac pacemaker in situ	Both	circulatory system	2	V45.0, V53.3	1	Z95.0
427	Cardiac dysrhythmias		circulatory system	11	427.0, 427.1, 427.2, 427.3, 427.4, 427.5, 427.6, 427.8, 427.9, 785.0, 785.1	NA	NA
427.1	Paroxysmal tachycardia, unspecified		circulatory system	3	427.0, 427.1, 427.2	1	I47.9
427.11	Paroxysmal supraventricular tachycardia	Both	circulatory system	1	427.0	2	I47.1, I49.2
427.12	Paroxysmal ventricular tachycardia	Both	circulatory system	1	427.1	2	I47.0, I47.2
427.2	Atrial fibrillation and flutter		circulatory system	1	427.3	1	I48
427.3	Other specified cardiac dysrhythmias	Both	circulatory system	1	427.8	3	I49.4, I49.8, R00.1
427.4	Cardiac arrest and ventricular fibrillation	Both	circulatory system	2	427.4, 427.5	NA	NA
427.41	Ventricular fibrillation and flutter	Both	circulatory system	NA	NA	1	I49.0
427.42	Cardiac arrest	Both	circulatory system	1	427.5	2	I46.0, I46.9
427.5	Arrhythmia (cardiac) NOS	Both	circulatory system	1	427.9	1	I49.9
427.6	Premature beats	Both	circulatory system	1	427.6	2	I49.3, I49.4
427.61	Supraventricular premature beats	Both	circulatory system	NA	NA	1	I49.1
427.7	Tachycardia NOS	Both	circulatory system	1	785.0	1	R00.0
427.8	Sinoatrial node dysfunction (Bradycardia)	Both	circulatory system	NA	NA	1	I49.5
427.9	Palpitations	Both	circulatory system	1	785.1	1	R00.2
428	Congestive heart failure; nonhypertensive		circulatory system	3	428.0, 428.1, 428.9	NA	NA
428.1	Congestive heart failure (CHF) NOS	Both	circulatory system	1	428.0	1	I50.0
428.2	Heart failure NOS	Both	circulatory system	2	428.1, 428.9	2	I50.1, I50.9
429	Ill-defined descriptions and complications of heart disease		circulatory system	2	785.9, 997.1	NA	NA
429.1	Heart transplant/surgery	Both	circulatory system	2	429.4, V15.1	4	I97.0, T86.3, Z94.1, Z94.3
429.2	Abnormal function study of cardiovascular system	Both	circulatory system	NA	NA	1	R94.3
429.3	Symptoms involving cardiovascular system	Both	circulatory system	1	785.9	1	R09.8
429.9	Cardiac complications, not elsewhere classified	Both	circulatory system	1	997.1	NA	NA
430	Intracranial hemorrhage		circulatory system	2	432.0, 432.1	3	I62.1, I62.9, S06.4
430.1	Subarachnoid hemorrhage	Both	circulatory system	NA	NA	9	I60.1, I60.2, I60.3, I60.4, I60.5, I60.6, I60.7, I60.8, I60.9
430.2	Intracerebral hemorrhage	Both	circulatory system	NA	NA	9	I61.0, I61.1, I61.2, I61.3, I61.4, I61.5, I61.6, I61.8, I61.9
430.3	Subdural hemorrhage	Both	circulatory system	1	432.1	1	I62.0
433	Cerebrovascular disease		circulatory system	10	433.1, 433.9, 434.9, 435.9, 437.0, 437.1, 437.3, 437.8, 437.9, 438.9	12	G45.4, G46.3, G46.4, G46.5, G46.6, G46.7, G46.8, I60.0, I67.7, I67.9, I68.0, I68.8
433.1	Occlusion and stenosis of precerebral arteries	Both	circulatory system	3	433.1, 433.9, 437.0	6	I65.0, I65.1, I65.2, I65.3, I65.8, I65.9
433.11	Occlusion of cerebral arteries, with cerebral infarction	Both	circulatory system	NA	NA	2	I63.1, I63.2
433.12	Cerebral atherosclerosis	Both	circulatory system	1	437.0	1	I67.2
433.2	Occlusion of cerebral arteries	Both	circulatory system	1	434.9	11	I63.2, I63.5, I63.9, I66.0, I66.1, I66.2, I66.3, I66.4, I66.8, I66.9, I67.6
433.21	Cerebral artery occlusion, with cerebral infarction	Both	circulatory system	NA	NA	7	I63.0, I63.3, I63.4, I63.5, I63.6, I63.8, I64
433.3	Cerebral ischemia	Both	circulatory system	2	435.9, 437.1	1	I67.8
433.31	Transient cerebral ischemia	Both	circulatory system	1	435.9	7	G45.0, G45.1, G45.8, G45.9, G46.0, G46.1, G46.2
433.32	Moyamoya disease	Both	circulatory system	NA	NA	1	I67.5
433.5	Cerebral aneurysm	Both	circulatory system	1	437.3	1	I67.1
433.8	Late effects of cerebrovascular disease	Both	circulatory system	1	438.9	6	I69.0, I69.1, I69.2, I69.3, I69.4, I69.8
440	Atherosclerosis		circulatory system	5	440.0, 440.1, 440.2, 440.8, 440.9	3	I25.0, I70.8, I70.9
440.1	Atherosclerosis of renal artery	Both	circulatory system	1	440.1	1	I70.1
440.2	Atherosclerosis of the extremities	Both	circulatory system	1	440.2	1	I70.2
440.9	Atherosclerosis of aorta	Both	circulatory system	1	440.0	1	I70.0
441	Vascular insufficiency of intestine		circulatory system	3	557.0, 557.1, 557.9	2	K55.8, K55.9
441.1	Acute vascular insufficiency of intestine	Both	circulatory system	1	557.0	1	K55.0
441.2	Chronic vascular insufficiency of intestine	Both	circulatory system	1	557.1	1	K55.1
442	Other aneurysm		circulatory system	6	441.0, 441.1, 441.4, 441.6, 442.3, 442.9	1	I72.9
442.1	Aortic aneurysm	Both	circulatory system	4	441.0, 441.1, 441.4, 441.6	7	I71.0, I71.1, I71.2, I71.5, I71.6, I71.8, I71.9
442.11	Abdominal aortic aneurysm	Both	circulatory system	1	441.4	2	I71.3, I71.4
442.2	Aneurysm of iliac artery	Both	circulatory system	NA	NA	1	I72.3
442.3	Aneurysm of artery of lower extremity	Both	circulatory system	1	442.3	1	I72.4
442.4	Arterial dissection	Both	circulatory system	NA	NA	1	I67.0
442.8	Aneurysm of other specified artery	Both	circulatory system	NA	NA	4	I72.0, I72.1, I72.2, I72.8
443	Peripheral vascular disease		circulatory system	3	443.0, 443.8, 443.9	NA	NA
443.1	Raynaud's syndrome	Both	circulatory system	1	443.0	1	I73.0
443.7	Peripheral angiopathy in diseases classified elsewhere	Both	circulatory system	NA	NA	6	E10.5, E11.5, E14.5, I79.1, I79.2, I79.8
443.8	Other specified peripheral vascular diseases	Both	circulatory system	1	443.8	2	I73, I73.8
443.9	Peripheral vascular disease, unspecified	Both	circulatory system	1	443.9	1	I73.9
444	Arterial embolism and thrombosis		circulatory system	3	444.0, 444.2, 444.8	6	I74.1, I74.2, I74.4, I74.5, I74.8, I74.9
444.1	Arterial embolism and thrombosis of lower extremity artery	Both	circulatory system	NA	NA	1	I74.3
444.2	Embolism and thrombosis of abdominal aorta	Both	circulatory system	1	444.0	1	I74.0
446	Polyarteritis nodosa and allied conditions	Both	circulatory system	4	446.0, 446.4, 446.7, 447.6	1	M31.2
446.1	Thromboangiitis obliterans	Both	circulatory system	NA	NA	1	I73.1
446.2	Acute febrile mucocutaneous lymph node syndrome (Kawasaki disease)	Both	circulatory system	NA	NA	1	M30.3
446.3	Hypersensitivity angiitis	Both	circulatory system	NA	NA	2	M05.2, M31.0
446.4	Wegener's granulomatosis	Both	circulatory system	1	446.4	2	M30.1, M31.3
446.5	Giant cell arteritis	Both	circulatory system	NA	NA	2	M31.5, M31.6
446.6	Polyarteritis nodosa	Both	circulatory system	1	446.0	3	M30.0, M30.2, M30.8
446.7	Takayasu's disease	Both	circulatory system	1	446.7	1	M31.4
446.8	Thrombotic microangiopathy	Both	circulatory system	NA	NA	1	M31.1
446.9	Arteritis NOS	Both	circulatory system	1	447.6	1	I77.6
447	Other disorders of arteries and arterioles		circulatory system	2	447.1, 447.9	10	I77.0, I77.2, I77.3, I77.4, I77.5, I77.8, I77.9, M31.8, M31.9, Q27.3
447.1	Stricture of artery	Both	circulatory system	1	447.1	1	I77.1
448	Disease of capillaries		circulatory system	2	448.0, 448.9	3	I78.0, I78.8, I78.9
450	Noninfectious disorders of lymphatic channels	Both	circulatory system	2	457.1, 457.2	5	I89.0, I89.1, I89.8, I89.9, I97.2
451	Phlebitis and thrombophlebitis		circulatory system	5	451.0, 451.1, 451.2, 451.8, 451.9	2	I80.8, I80.9
451.2	Phlebitis and thrombophlebitis of lower extremities	Both	circulatory system	3	451.0, 451.1, 451.2	4	I80.0, I80.1, I80.2, I80.3
452	Other venous embolism and thrombosis		circulatory system	2	453.2, 453.8	7	I81, I82.0, I82.1, I82.2, I82.3, I82.8, I82.9
452.8	Postphlebitic syndrome	Both	circulatory system	NA	NA	1	I87.0
454	Varicose veins		circulatory system	6	454.0, 454.1, 454.9, 456.4, 456.6, 456.8	6	I86.0, I86.1, I86.2, I86.3, I86.4, I86.8
454.1	Varicose veins of lower extremity	Both	circulatory system	3	454.0, 454.1, 454.9	1	I83.9
454.11	Varicose veins of lower extremity, symptomtic	Both	circulatory system	2	454.0, 454.1	3	I83.0, I83.1, I83.2
455	Hemorrhoids		circulatory system	10	455.0, 455.1, 455.2, 455.3, 455.4, 455.5, 455.6, 455.7, 455.8, 455.9	10	I84.0, I84.1, I84.2, I84.3, I84.4, I84.5, I84.6, I84.7, I84.8, I84.9
456	Chronic venous insufficiency [CVI]	Both	circulatory system	NA	NA	1	I87.2
457	Encounter for long-term (current) use of anticoagulants, antithrombotics, aspirin		circulatory system	1	V58.6	NA	NA
458	Hypotension		circulatory system	2	458.0, 458.9	1	R03.1
458.1	Orthostatic hypotension	Both	circulatory system	1	458.0	1	I95.1
458.2	Iatrogenic hypotension	Both	circulatory system	NA	NA	1	I95.2
458.9	Hypotension NOS	Both	circulatory system	1	458.9	3	I95.0, I95.8, I95.9
459	Other disorders of circulatory system		circulatory system	5	459.0, 459.8, 459.9, V12.5, V43.4	1	I87.1
459.1	Hemorrhage NOS	Both	circulatory system	1	459.0	1	R58
459.7	Blood vessel replaced	Both	circulatory system	1	V43.4	NA	NA
459.9	Circulatory disease NEC	Both	circulatory system	3	459.8, 459.9, V12.5	6	I60.0, I87.8, I87.9, I97.1, I99, Z86.7
464	Acute sinusitis	Both	respiratory	4	461.0, 461.1, 461.8, 461.9	7	J01.0, J01.1, J01.2, J01.3, J01.4, J01.8, J01.9
465	Acute upper respiratory infections of multiple or unspecified sites		respiratory	6	034.0, 464.0, 464.1, 464.2, 464.3, 465.9	7	J00, J02.0, J03.0, J05.1, J06.0, J06.8, J06.9
465.2	Acute pharyngitis	Both	respiratory	NA	NA	2	J02.8, J02.9
465.4	Acute laryngitis and tracheitis	Both	respiratory	3	464.0, 464.1, 464.2	3	J04.0, J04.1, J04.2
470	Septal Deviations/Turbinate Hypertrophy		respiratory	1	478.0	2	J34.2, J34.3
471	Nasal polyps		respiratory	4	471.0, 471.1, 471.8, 471.9	4	J33.0, J33.1, J33.8, J33.9
472	Chronic pharyngitis and nasopharyngitis		respiratory	3	472.0, 472.1, 472.2	3	J31.0, J31.1, J31.2
473	Diseases of the larynx and vocal cords		respiratory	9	476.0, 478.3, 478.4, 478.5, 478.6, 478.7, 478.75, 478.79, 784.4	6	J38.1, J38.2, J38.3, J38.4, J38.6, J38.7
473.1	Chronic laryngitis	Both	respiratory	1	476.0	1	J37.0
473.3	Paralysis/spasm of vocal cords or larynx	Both	respiratory	2	478.3, 478.75	2	J38.0, J38.5
473.4	Voice disturbance	Both	respiratory	1	784.4	4	R49.0, R49.1, R49.2, R49.8
474	Acute and chronic tonsillitis		respiratory	4	474.0, 474.1, 474.8, 474.9	1	J36
474.1	Acute tonsillitis	Both	respiratory	NA	NA	2	J03.8, J03.9
474.2	Chronic tonsillitis and adenoiditis	Both	respiratory	4	474.0, 474.1, 474.8, 474.9	6	J35.0, J35.1, J35.2, J35.3, J35.8, J35.9
475	Chronic sinusitis		respiratory	6	473.0, 473.1, 473.2, 473.3, 473.8, 473.9	7	J32.0, J32.1, J32.2, J32.3, J32.4, J32.8, J32.9
476	Allergic rhinitis		respiratory	3	477.0, 477.8, 477.9	5	J30.0, J30.1, J30.2, J30.3, J30.4
477	Epistaxis or throat hemorrhage	Both	respiratory	1	784.7	2	R04.0, R04.1
478	Throat pain		respiratory	1	784.1	1	R07.0
479	Other upper respiratory disease	Both	respiratory	6	478.1, 478.2, 478.9, 519.1, 519.3, 786.1	12	J34.0, J34.1, J34.8, J39.0, J39.1, J39.2, J39.3, J39.8, J39.9, J98.0, J98.5, R06.1
480	Pneumonia		respiratory	6	136.3, 480.9, 482.4, 482.8, 482.9, 484.8	6	J10.0, J11.0, J16.8, J17.2, J18.8, J18.9
480.1	Bacterial pneumonia	Both	respiratory	3	482.4, 482.8, 482.9	17	A20.2, A31.0, A48.1, A78, B96.0, B96.1, J14, J15.0, J15.2, J15.3, J15.4, J15.5, J15.6, J15.7, J15.8, J15.9, J16.0
480.11	Pneumococcal pneumonia	Both	respiratory	NA	NA	2	J13, J18.1
480.12	Pseudomonal pneumonia	Both	respiratory	NA	NA	1	J15.1
480.2	Viral pneumonia	Both	respiratory	1	480.9	7	B01.2, B25.0, J12.0, J12.1, J12.2, J12.8, J12.9
480.3	Pneumonia due to fungus (mycoses)	Both	respiratory	1	136.3	4	B20.6, B37.1, B44.0, B59
480.5	Bronchopneumonia and lung abscess	Both	respiratory	NA	NA	5	J18.0, J85.0, J85.1, J85.2, J85.3
481	Influenza		respiratory	2	487.1, 487.8	6	J10.0, J10.1, J10.8, J11.0, J11.1, J11.8
483	Acute bronchitis and bronchiolitis		respiratory	1	466.0	9	J05.0, J20.1, J20.4, J20.5, J20.6, J20.8, J20.9, J21.0, J21.9
495	Asthma		respiratory	4	493.0, 493.1, 493.9, 493.90	4	J45.0, J45.1, J45.8, J45.9
495.2	Asthma with exacerbation	Both	respiratory	NA	NA	1	J46
496	Chronic airway obstruction		respiratory	4	491.0, 491.2, 491.8, 491.9	2	J44.8, J44.9
496.1	Emphysema	Both	respiratory	NA	NA	5	J43.0, J43.1, J43.2, J43.8, J43.9
496.2	Chronic bronchitis	Both	respiratory	4	491.0, 491.2, 491.8, 491.9	3	J41.0, J41.1, J42
496.21	Obstructive chronic bronchitis	Both	respiratory	1	491.2	2	J44.0, J44.1
496.3	Bronchiectasis	Both	respiratory	NA	NA	1	J47
497	Bronchitis	Both	respiratory	NA	NA	1	J40
499	Cystic fibrosis	Both	respiratory	1	277.0	4	E84.0, E84.1, E84.8, E84.9
500	Lung disease due to external agents		respiratory	1	495.2	16	J68.0, J68.1, J68.2, J68.3, J68.4, J68.8, J68.9, J69.1, J69.8, J70.0, J70.1, J70.2, J70.3, J70.4, J70.8, J70.9
500.1	Extrinsic allergic alveolitis	Both	respiratory	1	495.2	9	J66.0, J66.8, J67.0, J67.2, J67.4, J67.6, J67.7, J67.8, J67.9
500.2	Pneumoconiosis	Both	respiratory	NA	NA	7	J60, J61, J62.8, J63.4, J63.5, J63.8, J64
501	Pneumonitis due to inhalation of food or vomitus	Both	respiratory	1	507.0	1	J69.0
502	Postinflammatory pulmonary fibrosis	Both	respiratory	NA	NA	2	J84.1, J84.8
503	Pulmonary congestion and hypostasis	Both	respiratory	NA	NA	2	J18.2, J81
504	Other alveolar and parietoalveolar pneumonopathy	Both	respiratory	NA	NA	4	B22.1, J84.0, J84.8, J84.9
505	Other pulmonary inflamation or edema		respiratory	1	518.3	1	J82
506	Empyema and pneumothorax		respiratory	1	510.9	6	J86.0, J86.9, J93.0, J93.1, J93.8, J93.9
507	Pleurisy; pleural effusion		respiratory	4	511.0, 511.1, 511.8, 511.9	10	J90, J91, J92.0, J92.9, J94.0, J94.1, J94.2, J94.8, J94.9, R09.1
508	Pulmonary collapse; interstitial and compensatory emphysema		respiratory	1	518.0	2	J98.1, J98.2
509	Respiratory failure, insufficiency, arrest	Both	respiratory	3	518.5, 799.1, V46.1	NA	NA
509.1	Respiratory failure	Both	respiratory	NA	NA	3	J96.0, J96.1, J96.9
509.2	Respiratory insufficiency	Both	respiratory	NA	NA	2	J80, J96.9
509.3	Pulmonary insufficiency or respiratory failure following trauma and surgery	Both	respiratory	1	518.5	3	J95.1, J95.2, J95.3
509.5	Respiratory arrest	Both	respiratory	1	799.1	1	R09.2
509.8	Dependence on respirator [Ventilator] or supplemental oxygen	Both	respiratory	1	V46.1	1	Z99.1
510	Other diseases of lung		respiratory	1	518.8	1	J98.4
510.2	Lung transplant	Both	respiratory	NA	NA	3	T86.3, Z94.2, Z94.3
512	Other symptoms of respiratory system		respiratory	1	786.2	NA	NA
512.1	Wheezing	Both	respiratory	NA	NA	1	R06.2
512.2	Painful respiration	Both	respiratory	NA	NA	1	R07.1
512.7	Shortness of breath	Both	respiratory	NA	NA	1	R06.0
512.8	Cough	Both	respiratory	1	786.2	1	R05
512.9	Other dyspnea	Both	respiratory	NA	NA	1	R06.8
513	Respiratory abnormalities		respiratory	2	782.5, 786.0	NA	NA
513.3	Hypoventilation	Both	respiratory	1	782.5	2	E66.2, R23.0
513.31	Apnea	Both	respiratory	NA	NA	1	R06.3
513.4	Hyperventilation	Both	respiratory	NA	NA	1	R06.4
513.8	Disorders of diaphragm	Both	respiratory	NA	NA	2	J98.6, R06.6
514	Abnormal findings examination of lungs		respiratory	1	793.1	1	R91
514.1	Abnormal results of function study of pulmonary system	Both	respiratory	NA	NA	1	R94.2
516	Abnormal sputum		respiratory	1	786.3	2	R09.3, R84.9
516.1	Hemoptysis	Both	respiratory	1	786.3	3	R04.2, R04.8, R04.9
519	Other diseases of respiratory system, not elsewhere classified		respiratory	5	519.8, 519.9, 786.6, 997.3, V12.6	1	J98.9
519.2	Respiratory complications	Both	respiratory	1	997.3	4	J95.4, J95.5, J95.8, J95.9
519.8	Other diseases of respiratory system, NEC	Both	respiratory	2	519.8, V12.6	3	J22, J98.8, Z87.0
519.9	Symptoms involving respiratory system and other chest symptoms	Both	respiratory	1	786.6	1	R22.2
520	Disorders of tooth development		digestive	5	520.1, 520.2, 520.6, 520.8, 520.9	4	K00.3, K00.7, K00.8, K00.9
520.1	Hereditary disturbances in tooth structure	Both	digestive	2	520.1, 520.2	5	K00.0, K00.1, K00.2, K00.4, K00.5
520.2	Disturbances in tooth eruption	Both	digestive	1	520.6	3	K00.6, K01.0, K01.1
521	Diseases of hard tissues of teeth		digestive	3	521.0, 521.6, 521.9	2	K03.8, K03.9
521.1	Dental caries	Both	digestive	1	521.0	5	K02.0, K02.1, K02.2, K02.8, K02.9
521.2	Dental abrasion, erosion and attrition	Both	digestive	NA	NA	3	K03.0, K03.1, K03.2
521.4	Tooth complications likely association with other diseases	Both	digestive	1	521.6	3	K03.3, K03.4, K03.5
522	Diseases of pulp and periapical tissues		digestive	5	522.0, 522.5, 522.7, 522.8, 522.9	3	K04.3, K04.8, K04.9
522.1	Pulpitis and necrosis of tooth pulp	Both	digestive	1	522.0	2	K04.0, K04.1
522.5	Periapical abscess	Both	digestive	2	522.5, 522.7	2	K04.6, K04.7
523	Gingival and periodontal diseases		digestive	8	522.4, 522.6, 523.1, 523.3, 523.4, 523.6, 523.8, 523.9	7	K03.6, K05.5, K05.6, K06.1, K06.2, K06.8, K06.9
523.1	Gingivitis	Both	digestive	1	523.1	3	K05.0, K05.1, K06.0
523.3	Periodontitis (acute or chronic)	Both	digestive	4	522.4, 522.6, 523.3, 523.4	1	K05.4
523.31	Acute periodontitis	Both	digestive	2	522.4, 523.3	2	K04.4, K05.2
523.32	Chronic periodontitis	Both	digestive	2	522.6, 523.4	2	K04.5, K05.3
524	Dentofacial anomalies, including malocclusion		digestive	5	524.2, 524.3, 524.4, 524.8, 524.9	3	K07.5, K07.8, K07.9
524.3	Anomalies of tooth position/malocclusion	Both	digestive	3	524.2, 524.3, 524.4	3	K07.2, K07.3, K07.4
525	Other diseases of the teeth and supporting structures		digestive	3	525.1, 525.2, 525.9	6	K08.0, K08.1, K08.3, K08.8, K08.9, S03.2
525.1	Loss of teeth or edentulism	Both	digestive	1	525.1	NA	NA
525.2	Atrophy of edentulous alveolar ridge	Both	digestive	1	525.2	1	K08.2
526	Diseases of the jaws		digestive	7	524.0, 524.1, 524.6, 526.0, 526.1, 526.2, 526.4	1	K10.1
526.1	Cysts of the jaws	Both	digestive	3	526.0, 526.1, 526.2	3	K09.0, K09.1, K09.2
526.3	Anomalies of jaw size/symmetry	Both	digestive	2	524.0, 524.1	2	K07.0, K07.1
526.4	Temporomandibular joint disorders	Both	digestive	1	524.6	NA	NA
526.41	Temporomandibular joint disorder, unspecified	Both	digestive	NA	NA	1	K07.6
526.5	Inflammatory conditions of jaw	Both	digestive	1	526.4	2	K10.2, K10.3
526.9	Jaw disease NOS	Both	digestive	NA	NA	3	K10.0, K10.8, K10.9
527	Diseases of the salivary glands		digestive	5	527.1, 527.2, 527.7, 527.8, 527.9	3	K11.0, K11.4, K11.9
527.1	Hypertrophy of salivary gland	Both	digestive	1	527.1	1	K11.1
527.2	Sialoadenitis	Both	digestive	1	527.2	1	K11.2
527.7	Disturbance of salivary secretion	Both	digestive	1	527.7	2	K11.7, R68.2
527.8	Other specified diseases of the salivary glands	Both	digestive	1	527.8	1	K11.8
528	Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue		digestive	8	527.5, 527.6, 528.3, 528.4, 528.5, 528.6, 528.7, 528.9	5	K13.1, K13.4, K13.5, K13.6, K13.7
528.11	Stomatitis and mucositis (ulcerative)	Both	digestive	NA	NA	1	K12.1
528.12	Oral aphthae	Both	digestive	NA	NA	1	K12.0
528.3	Cellulitis and abscess of oral soft tissues	Both	digestive	1	528.3	2	K11.3, K12.2
528.4	Cysts of oral soft tissues	Both	digestive	2	527.6, 528.4	1	K09.9
528.41	Cyst of the salivary gland	Both	digestive	1	527.6	1	K11.6
528.5	Diseases of lips	Both	digestive	1	528.5	1	K13.0
528.6	Leukoplakia of oral mucosa	Both	digestive	1	528.6	2	K13.2, K13.3
528.7	Sialolithiasis	Both	digestive	1	527.5	1	K11.5
529	Diseases and other conditions of the tongue		digestive	3	529.0, 529.8, 529.9	5	K14.3, K14.4, K14.5, K14.8, K14.9
529.1	Glossitis	Both	digestive	1	529.0	4	A26.0, K14.0, K14.1, K14.2
529.6	Glossodynia	Both	digestive	NA	NA	1	K14.6
530	Diseases of esophagus		digestive	13	456.0, 456.1, 530.0, 530.1, 530.10, 530.11, 530.19, 530.2, 530.3, 530.5, 530.7, 530.8, 530.9	4	K22.3, K22.9, K23.0, K23.8
530.1	Esophagitis, GERD and related diseases		digestive	5	530.1, 530.10, 530.11, 530.19, 530.2	1	K20
530.11	GERD	Both	digestive	NA	NA	2	K21, K21.9
530.12	Ulcer of esophagus	Both	digestive	1	530.2	1	K22.1
530.14	Reflux esophagitis	Both	digestive	1	530.11	1	K21.0
530.2	Esophageal bleeding (varices/hemorrhage)	Both	digestive	2	456.0, 456.1	4	I85.0, I85.9, I98.2, K22.8
530.3	Stricture and stenosis of esophagus	Both	digestive	1	530.3	1	K22.2
530.5	Disorders of esophageal motility	Both	digestive	2	530.0, 530.5	2	K22.0, K22.4
530.6	Diverticulum of esophagus, acquired	Both	digestive	NA	NA	1	K22.5
530.7	Gastroesophageal laceration-hemorrhage syndrome	Both	digestive	1	530.7	1	K22.6
530.9	Heartburn	Both	digestive	1	787.1	1	R12
531	Peptic ulcer (excl. esophageal)		digestive	20	531.0, 531.1, 531.4, 531.5, 531.7, 531.9, 532.0, 532.1, 532.3, 532.4, 532.5, 532.6, 532.7, 532.9, 533.4, 533.7, 533.9, 534.3, 534.4, 534.9	NA	NA
531.1	Hemorrhage from gastrointestinal ulcer	Both	digestive	7	531.0, 531.4, 532.0, 532.4, 532.6, 533.4, 534.4	14	K25.0, K25.2, K25.4, K25.6, K26.0, K26.2, K26.4, K26.6, K27.0, K27.2, K27.4, K28.0, K28.4, K28.6
531.2	Gastric ulcer	Both	digestive	4	531.1, 531.5, 531.7, 531.9	5	K25.1, K25.3, K25.5, K25.7, K25.9
531.3	Duodenal ulcer	Both	digestive	5	532.1, 532.3, 532.5, 532.7, 532.9	5	K26.1, K26.3, K26.5, K26.7, K26.9
531.4	Peptic ulcer, site unspecified	Both	digestive	2	533.7, 533.9	6	K27.1, K27.3, K27.5, K27.6, K27.7, K27.9
531.5	Gastrojejunal ulcer	Both	digestive	2	534.3, 534.9	4	K28.3, K28.5, K28.7, K28.9
532	Dysphagia	Both	digestive	1	787.2	1	R13
535	Gastritis and duodenitis		digestive	5	535.0, 535.1, 535.4, 535.5, 535.6	2	K29, K29.7
535.1	Acute gastritis	Both	digestive	1	535.0	2	K29.0, K29.1
535.2	Atrophic gastritis	Both	digestive	1	535.1	1	K29.4
535.6	Duodenitis	Both	digestive	1	535.6	1	K29.8
535.8	Other specified gastritis	Both	digestive	1	535.4	3	K29.3, K29.5, K29.6
535.9	Gastritis and duodenitis, NOS	Both	digestive	1	535.5	NA	NA
536	Disorders of function of stomach		digestive	1	536.8	1	K31.0
536.8	Dyspepsia and other specified disorders of function of stomach	Both	digestive	1	536.8	NA	NA
537	Other disorders of stomach and duodenum		digestive	5	537.0, 537.3, 537.4, 537.8, 537.9	8	K31.1, K31.2, K31.3, K31.4, K31.5, K31.6, K31.8, K31.9
539	Bariatric surgery	Both	digestive	1	564.2	1	K91.1
540	Appendiceal conditions		digestive	4	540.0, 540.1, 540.9, 543.9	5	K38.0, K38.1, K38.2, K38.8, K38.9
540.1	Appendicitis	Both	digestive	3	540.0, 540.1, 540.9	2	K36, K37
540.11	Acute appendicitis	Both	digestive	3	540.0, 540.1, 540.9	3	K35.0, K35.1, K35.9
550	Abdominal hernia		digestive	14	550.0, 550.1, 550.9, 552.0, 552.1, 552.2, 552.3, 552.8, 553.0, 553.1, 553.2, 553.3, 553.8, 553.9	8	K43.0, K43.9, K45.0, K45.1, K45.8, K46.0, K46.1, K46.9
550.1	Inguinal hernia	Both	digestive	3	550.0, 550.1, 550.9	6	K40.0, K40.1, K40.2, K40.3, K40.4, K40.9
550.2	Diaphragmatic hernia	Both	digestive	2	552.3, 553.3	3	K44.0, K44.1, K44.9
550.3	Femoral hernia	Both	digestive	2	552.0, 553.0	5	K41.0, K41.2, K41.3, K41.4, K41.9
550.4	Umbilical hernia	Both	digestive	2	552.1, 553.1	3	K42.0, K42.1, K42.9
550.5	Ventral hernia	Both	digestive	2	552.2, 553.2	4	K43, K43.1, K43.9, K46.9
555	Inflammatory bowel disease and other gastroenteritis and colitis		digestive	5	555.0, 555.1, 555.2, 555.9, 556.9	NA	NA
555.1	Regional enteritis	Both	digestive	4	555.0, 555.1, 555.2, 555.9	4	K50.0, K50.1, K50.8, K50.9
555.2	Ulcerative colitis	Both	digestive	1	556.9	5	K51.3, K51.4, K51.5, K51.8, K51.9
555.21	Ulcerative colitis (chronic)	Both	digestive	NA	NA	3	K51.0, K51.1, K51.2
556	Ulceration of the lower GI tract	Both	digestive	NA	NA	1	K62.6
